Company Name,Pitch Year,Industry Served (organized),State Headquartered,Princeton Connection? (Binary),Total Amount Currently Raising,Amount Already Closed of the Total Currently Raising,[Gender] Does anyone on your founding team identify as:,[Race/Ethnicity] Does anyone on your founding team identify as:,Has anyone on your founding team ever served on active duty?
critical decision systems,2020,FinTech,Florida,No,0,0,Prefer Not to Say,American,Yes
HomeWorks Trenton,2020,Education,New Jersey,Yes,300000,135000,Female,"African-American / Black, East Asian",No
Layer Metrics LLC,2020,Manufacturing,New Jersey,No,500000,0,Female,White,No
TBD HEALTH INC.,2020,Healthcare Technologies,New York,Yes,875000,25000,Female,"East Asian, White",No
Chez Nous Brands Inc,2020,eCommerce,New York,Yes,500000,0,Female,"African-American / Black, East Asian, Hispanic/Latinx",No
JelikaLite LLC,2020,Healthcare Technologies,New York,Yes,1500000,0,Female,White,No
Nucleos Inc.,2020,EdTech,California,Yes,1000000,250000,Male,"African-American / Black, White",No
Halo Health Systems,2020,Healthcare Technologies,Texas,No,500000,75000,Male,Southeast Asian,No
PledgePlatform Inc.,2020,FinTech,Pennsylvania,Yes,400000,175000,Male,White,No
"Wit Labs, Inc.",2020,Advertising Technology,New Jersey,Yes,250000,350000,Male,South Asian,No
Alexapath Corporation,2020,Healthcare Technologies,New York,No,350000,150000,Male,"African-American / Black, Southeast Asian",No
BallBox,2020,Retail,Illinois,No,400000,120000,Male,Middle Eastern,No
CareStarter Technologies Inc.,2020,Healthcare Technologies,Texas,No,2000000,1500000,"Female, Male","American IndiaN/Alaskan Native, White",No
"IPD Products, Inc.",2020,Healthcare Technologies,Pennsylvania,Yes,850000,20000,Male,White,No
SURGERi Inc,2020,Healthcare Technologies,New Jersey,No,2300000,0,Male,South Asian,No
YRfacts (TBA),2020,Information Security,California,Yes,500000,0,Male,White,No
"Fisecal, LLC",2020,FinTech,New York,No,2000000,0,"Male, Gay",White,No
Gesso Inc,2020,Art & Music,New York,Yes,1000000,0,"Female, Male","East Asian, White",No
"Civic Champs, Inc.",2020,Other,Indiana,Yes,500000,536000,Male,"East Asian, White",No
Forwardlane Inc,2020,FinTech,New York,Yes,3000000,1900000,Prefer Not to Say,Human Being,Not applicable
"RxThat, Inc.",2020,Healthcare Technologies,Colorado,Yes,1250000,600000,"Male, Non-Binary/Third Gender","East Asian, South Asian, Southeast Asian, White",No
Proud Pour Inc.,2020,Food & Drink,Massachusetts,Yes,250000,0,"Female, Male",White,No
Catalyst Capital Partners,2020,Financial Services,"Washington, D.C.",Yes,300000,0,Male,White,No
Cyndescope,2020,Healthcare Technologies,Pennsylvania,Yes,1000000,55000,"Female, Male","African-American / Black, White",Not applicable
Al Sur Latin Kitchen and Catering LLC,2020,Food & Drink,Maryland,Yes,500000,75000,"Female, Male",Hispanic/Latinx,No
United World Unlimited,2020,Media & Entertainment,California,Yes,2500000,0,Female,"African-American / Black, South Asian, White",No
"KeyCaliber, Inc.",2020,Information Security,"Washington, D.C.",Yes,2000000,0,Female,White,No
International Orchestra of Refugees,2020,Art,Massachusetts,Yes,100000,1569,Male,White,No
eBodyGuard,2020,Health & Well-Being,Colorado,Yes,1500000,0,"Female, Male","Middle Eastern, White",No
RBP Studios,2020,EdTech,Pennsylvania,Yes,200000,0,Female,"African-American / Black, Hispanic/Latinx, Southeast Asian",No
"Beam Smart Retail, Inc.",2020,Food & Drink,New York,Yes,500000,200000,Male,East Asian,No
Presently,2020,FinTech,New York,Yes,150000,0,Female,"Middle Eastern, White, Central Asian",No
Andluca Technologies Inc.,2020,Energy & CleanTech,New Jersey,Yes,2000000,125000,"Female, Male","Southeast Asian, White",No
"HireLMNS, Inc.",2020,HR Tech,New York,Yes,1000000,0,"Female, Male",African,No
JGatoEnt,2020,Retail,California,Yes,1000000,0,Male,"Japanese, Italian-American",No
The Movement Gallery,2020,Healthcare Technologies,Maryland,Yes,700000,0,Female,White,No
winemakersspeakeasy.com,2020,Food & Drink,California,Yes,0,0,Male,"Italian, Japanese-American",No
Aveterra Corp,2020,Agricultural Technology,Washington,Yes,965000,165000,"Female, Male",White,No
Argonaut Genomics Inc.,2020,Healthcare Technologies,California,Yes,2000000,0,Female,East Asian,No
"Dexpress, Inc.",2020,FinTech,New York,Yes,650000,0,Male,White,No
"Lambent Data, Inc.",2020,Healthcare Technologies,New Jersey,Yes,65000,0,"Female, Male",White,Not applicable
"Career Copilots, Inc.",2020,HR Tech,New York,Yes,1000000,95000,Male,"South Asian, White",No
"Validose, Inc.",2020,Pharmaceuticals,New York,Yes,2000000,375000,Male,White,No
Academicly Inc.,2020,EdTech,New York,No,250000,50000,"Female, Male","African-American / Black, African, East Asian, White",No
"Salusive, Inc.",2020,Healthcare Technologies,California,Yes,2000000,50000,Male,"East Asian, Middle Eastern",No
Vysioneer,2020,Healthcare Technologies,Massachusetts,Yes,1000000,500000,Male,East Asian,No
Whiterock AI,2020,Real Estate,New York,No,600000,150000,Male,"East Asian, White",No
Nayya,2020,Healthcare Technologies,New York,No,900000,300000,Prefer Not to Say,"Middle Eastern, South Asian",No
Acadia,2020,Manufacturing,California,No,600000,0,"Female, Male","East Asian, South Asian, Southeast Asian",No
messageLOUD Inc,2020,Automobile,New York,No,585000,1215000,"Female, Male","African-American / Black, African, White",No
RealKey,2020,FinTech,California,No,1500000,500000,Male,"East Asian, Middle Eastern, Pacific Islander, South Asian, Southeast Asian, White",Not applicable
"Polycarbin, Inc.",2020,Healthcare Technologies,Pennsylvania,Yes,1000000,25000,Male,White,No
GEBECERT LIMITED,2020,Information Security,Hong Kong,No,258000,258000,"Female, Male","Southeast Asian, White",No
Superfuds SAS,2020,eCommerce,Colombia,Yes,3000000,2000000,Male,Hispanic/Latinx,No
"nanopathdx, LLC",2020,Healthcare Technologies,New Hampshire,Yes,500000,150000,Female,"South Asian, White",No
Verifi Media,2020,Art & Music,New York,Yes,3000000,0,Male,"East Asian, White",No
"Policyholder Technologies, Inc. (P TECH)",2020,Insurance,California,Yes,250000,0,Female,"American IndiaN/Alaskan Native, White",No
Alariss Global,2020,Other,California,Yes,250000,50000,Female,"East Asian, White, Central Asian",No
Parkside Scientific Inc.,2020,Biotechnology,New York,Yes,2000000,0,Male,East Asian,No
Nanopathdx LLC,2020,Healthcare Technologies,New Hampshire,Yes,500000,160000,Female,South Asian,No
RecurX Bio Inc,2020,Healthcare Technologies,Maryland,Yes,300000,0,Female,White,No
"LDVS, Inc",2020,Insurance,California,Yes,750000,250000,"Female, Male",White,No
WittyKid LLC,2020,Media & Entertainment,California,Yes,470000,0,"Female, Male","East Asian, White",No
DH Securities,2020,FinTech,Pennsylvania,Yes,2100000,0,Male,"African-American / Black, Hispanic/Latinx, White",No
"Sound.com, LLC",2020,Media & Entertainment,New Jersey,Yes,500000,0,Male,"Middle Eastern, White",No
BMSEED LLC,2020,Healthcare Technologies,Arizona,Yes,1500000,2950000,Male,White,No
"Wellesley Pharmaceuticals, LLC",2020,Pharmaceuticals,Pennsylvania,Yes,7800000,0,Male,White,No
ROYBI,2020,Artificial Intelligence,California,No,15000000,4200000,"Female, Male","East Asian, Middle Eastern",No
ShipReality Inc.,2020,Other,"Athens, Greece",Yes,400000,0,Male,White,No
Wesa LLC,2020,Healthcare Technologies,New York,No,600000,100000,"Female, Male","East Asian, Hispanic/Latinx, White",No
Mi Terro Inc.,2020,Agricultural Technology,California,No,1000000,0,Male,East Asian,No
Societas Analytics,2020,Artificial Intelligence,Maryland,No,2000000,0,Female,White,No
"Massive Bio, Inc.",2020,Healthcare Technologies,New York,Yes,10000000,0,Female,"Hispanic/Latinx, White",No
Mira,2020,Healthcare Technologies,California,No,2000000,0,Female,East Asian,No
The Crumpet Society,2020,Food & Drink,New Jersey,Yes,21500,20000,"Female, Male","East Asian, White, East European",No
"Haystack Diagnostics, Inc.",2020,Healthcare Technologies,Massachusetts,Yes,400000,0,Female,East Asian,Yes
Lumhaa LLC,2020,Social Media,Pennsylvania,Yes,500000,0,Female,South Asian,No
"DressStrong, Inc",2020,Retail,New York,Yes,0,0,"Female, Male","Hispanic/Latinx, Middle Eastern, White",No
Reclaim Energies,2020,Energy & CleanTech,New Jersey,Yes,200000,12000,"Female, Male","African-American / Black, White",Not applicable
Bopdrop inc.,2020,Art & Music,Illinois,Yes,237500,112500,Male,White,No
AfroRoots LLC,2020,Other,New York,Yes,200000,0,Male,"African-American / Black, White",No
"First Class LTS - Ohio, LLC",2020,Travel,Ohio,Yes,1000000,2000,Male,African-American / Black,Yes
The Collab Collective,2020,Energy & CleanTech,California,Yes,500000,150000,Female,East Asian,No
"Adora Experiences, Inc",2020,Education,New Jersey,Yes,250000,0,"Female, Male","African-American / Black, Middle Eastern, South Asian, White",No
Ver-still Distillation Systems LTD,2020,Food & Drink,Israel,Yes,2300000,1000000,Male,Other,Not applicable
round21,2020,Sports,Maryland,Yes,750000,50000,Female,Southeast Asian,No
Knoema Corporation,2020,FinTech,New York,No,5000000,0,Male,White,No
LUDIS,2020,Sports,New Jersey,Yes,0,0,Male,"South Asian, White, International",No
"Ramona Optics, Inc.",2020,Healthcare Technologies,North Carolina,Yes,3900000,2400000,"Female, Male","Middle Eastern, White",No
"Flux Marine, Ltd.",2020,Transportation,Massachusetts,Yes,650000,0,Male,White,No
"BLUEWAVE Technologies, Inc.",2020,Healthcare Technologies,Florida,Yes,3000000,1800000,Male,"African-American / Black, White",No
YRfacts.com,2020,Information Security,California,Yes,500000,0,Male,White,No
"Tonato Ventures, LLC",2020,FinTech,Delaware,Yes,250000,0,Female,African-American / Black,No
HighlightI Incorporated,2020,Information Security,Massachusetts,Yes,750000,0,Female,Other,No
Jules Consulting,2020,Other,New York,No,300000,0,Male,"African-American / Black, White",No
"EpiVax Therapeutics, Inc.",2020,Healthcare Technologies,Rhode Island,No,3000000,550000,Female,White,Yes
"Sapphire RCMS, LLC",2020,Healthcare Technologies,California,Yes,1500000,500000,"Female, Male","African-American / Black, Hispanic/Latinx, White",Yes
Quillflash,2020,Other,New Jersey,Yes,70000,0,Male,South Asian,No
Open Scout Inc.,2020,Financial Services,New York,Yes,1500000,0,"Female, Male","South Asian, White",No
Panda Corner Corporation,2020,Education,New York,Yes,1500000,0,Female,"East Asian, White",No
Soma Measure,2020,Other,Pennsylvania,Yes,1000000,0,Female,"East Asian, White",No
RIVIT TV,2020,Media & Entertainment,California,No,5500000,4500000,Male,White,No
"Validose, Inc.",2020,Healthcare Technologies,New York,Yes,1200000,800000,Male,White,No
Victory Studios SAT,2020,Advertising Technology,Texas,Yes,10000,1300,Male,Hispanic/Latinx,No
"Career Copilots, Inc.",2020,HR Tech,New York,Yes,500000,60000,"Female, Male","South Asian, White",No
MDelivery,2020,Healthcare Technologies,California,Yes,1000000,0,Male,"Hispanic/Latinx, White",No
"MindCotine, Inc.",2020,Healthcare Technologies,California,Yes,2000000,0,Male,Hispanic/Latinx,No
Adelaide Analytics Inc.,2020,Advertising Technology,New York,Yes,2000000,0,"Female, Male",White,No
Africa Systems Limited Liability Company,2020,Healthcare Technologies,New Jersey,Yes,1000000,5000,Female,African,No
eBodyGuard LLC,2020,Safety,Colorado,Yes,600000,100000,Female,White,No
QuorID Corporation,2020,Healthcare Technologies,Nevada,Yes,2000000,0,"Female, Male","African-American / Black, Hispanic/Latinx, South Asian, White",No
"Beltways, Inc.",2020,Transportation,California,Yes,1000000,0,Male,"Kurdish, Persian",No
"Alariss Global, Inc.",2020,EdTech,California,Yes,550000,30000,Female,"East Asian, Central Asian",No
"Lambent Data, Inc.",2020,Healthcare Technologies,New Jersey,Yes,175000,0,Female,White,No
Stratos Networks Inc.,2020,GovTech,New York,Yes,500000,0,Male,White,No
"Presently, LLC",2020,FinTech,New York,Yes,1200000,0,Female,"Middle Eastern, White, Central Asian",No
Principld Investing,2020,FinTech,New York,Yes,800000,200000,Male,"Hispanic/Latinx, White",No
"Rymedi, Inc.",2020,Healthcare Technologies,South Carolina,Yes,3000000,400000,Male,White,No
Lelu,2020,EdTech,California,Yes,1000000,0,Female,"East Asian, Hispanic/Latinx",No
"MD Kinect, Inc.",2020,Healthcare Technologies,California,No,3000000,0,Male,"Middle Eastern, Southeast Asian",No
koyn. LLC,2020,Social Media,New Jersey,Yes,2000000,0,Male,"Middle Eastern, South Asian, White",Yes
DAIMLAS,2020,Artificial Intelligence,New Jersey,No,25000,0,Male,"Middle Eastern, Pacific Islander",No
"Focused Majority, LLC",2020,All Industries,Pennsylvania,Yes,1000000,0,Male,White,No
Yoga Wearable,2020,Consumer Products,Pennsylvania,No,1000000,0,Prefer Not to Say,,No
"ReplayAR, Inc.",2020,Mobile,California,No,350000,100000,Male,White,No
Medsix Inc.,2020,Healthcare Technologies,Massachusetts,No,1500000,800000,Male,"South Asian, East Asian,",No
Clepsoul IT services Pvt Ltd,2020,IT Services,India,No,100000,0,Male,South Asian,No
Quantum Marketing Group LLC dba Rose Sisters Chips,2020,Food & Drink,Connecticut,No,500000,0,Male,White,No
Oxeye,2020,Software,India,No,350000,20000,Male,South Asian,No
FORTË,2020,Consumer Services,New York,Yes,2000000,1000000,Female,White,No
NUE,2020,Consumer Products,Michigan,Yes,2000000,250000,Male,"African-American / Black, White",No
Zage,2020,FinTech,New Jersey,Yes,2500000,20000,Male,South Asian,No
Anthology Corp.,2020,Software,New Jersey,No,800000,0,Prefer Not to Say,White,No
GreenSeed Ventures,2020,Energy & CleanTech,New Jersey,Yes,,0,Male,"African-American / Black, White, Hispanic/Latinx",No
Eddi Products,2020,Consumer Products,New York,No,1000000,20000,"Female, Male",White,Yes
Vestalyze,2020,FinTech,Virginia,Yes,600000,0,Male,White,No
Grouport Therapy,2020,Healthcare Technologies,New York,Yes,1000000,45000,Male,White,No
Brigter,2020,Energy & CleanTech,United Kingdom,No,200000,0,"Female, Male","African, South Asian, White",No
SALUBATA,2020,Retail,Delaware,Yes,1000000,139000,Male,African-American,No
Atqui,2020,Healthcare Technologies,Florida,No,1250000,0,Prefer Not to Say,"Southeast Asian, White, Hispanic/Latinx",No
Alomics,2020,Biotechnology,Israel,Yes,500000,0,"Female, Male","Middle Eastern, White",No
True Dat Inc.,2020,Software,California,Yes,2000000,500000,Male,South Asian,No
Rice Pizza Ltd.,2020,Food & Drink,New York,Yes,1000000,0,Male,East Asian,No
"Groundstar, LLC",2020,Software,Ohio,Yes,3000000,200000,Male,East Asian,No
Phenotype,2020,Biotechnology,New Jersey,Yes,1000000,0,Male,South Asian,No
Hey Mirza,2020,Financial Services,United Kingdom,Yes,1200000,250000,Female,"East Asian, White",No
Good Earth Organics,2020,Agricultural Technology,Oregon,Yes,10000000,500000,Female,White,No
Mylance,2020,Business Services,California,No,1000000,0,Male,White,No
"RecurX Bio, Inc.",2020,Healthcare Technologies,Maryland,Yes,500000,110000,Female,White,No
ping,2020,Mobile,New York,Yes,585000,0,Male,White,No
Agile Devices,2020,Healthcare Technologies,Massachusetts,Yes,730000,270000,Male,"East Asian, White",No
Mentor Ship,2020,Education,New York,Yes,150000,0,Female,Middle Eastern,No
"AcuityBio, Inc.",2020,Healthcare Technologies,Massachusetts,Yes,4000000,350000,Male,"Middle Eastern, White",No
"Strategic Capital Allocation Group, LLC",2020,Financial Services,Massachusetts,Yes,500000,0,Male,White,No
Rubitection,2020,Healthcare Technologies,Pennsylvania,No,2000000,300000,Female,"African, White",No
Let's Get Set,2020,Fintech,California,Yes,250000,35000,Female,White,No
LUXLOCK,2020,Business Products,New York,Yes,5000000,0,Female,"South Asian, White, Hispanic/Latinx",No
Spoonful,2020,Consumer Products,California,Yes,1000000,0,Female,South Asian,No
Parkside Scientific Inc.,2020,Biotechnology,New York,Yes,3000000,0,Male,"East Asian, White",No
Verifi Media,2020,Software,New York,Yes,3000000,1400000,Male,"East Asian, White",No
Marketplace.city,2020,Software,Illinois,Yes,2000000,200000,Male,White,No
Liv Labs,2020,Healthcare Technologies,Illinois,Yes,500000,213530,"Female, Male",White,No
Oncoheroes Biosciences Inc.,2020,Biotechnology,Massachusetts,Yes,4000000,0,Male,"White, Hispanic/Latinx",No
3quilibrium Co.,2020,Media & Entertainment,New York,No,,0,Male,"East Asian, White",No
Attack Discrimination,2020,Internet / Web Services,Pennsylvania,Yes,10000000,0,Male,White,No
StarSpec Technologies Inc.,2020,Aerospace,Canada,Yes,5000000,5000,Prefer Not to Say,"Southeast Asian, White, Hispanic/Latinx",No
YRfacts,2020,Advertising Technology,California,Yes,200000,0,"Male, Prefer Not to Say","White, Hispanic/Latinx",No
"VidDrop, Inc. ",2020,Internet / Web Services,California,Yes,250000,80000,Female,"African-American / Black, White",Yes
TBD Health,2020,Healthcare Technologies,Connecticut,Yes,800000,0,"Female, Male","East Asian, White",No
Around About Club,2020,Travel,Utah,Yes,300000,0,"Female, Male",White,No
Cinemagic,2020,Media & Entertainment,Massachusetts,Yes,1200000,5000,Male,White,No
Akilah Wearable Tech (AWT),2020,Retail,Illinois,Yes,325000,130000,Female,African-American / Black,No
TUYO,2020,Travel,Mexico,Yes,500000,3000,"Female, Male","White, Hispanic/Latinx",No
Orbis Diagnostics Limited,2020,Biotechnology,New Zealand,No,9000000,0,"Female, Male","Southeast Asian, White,",No
PhysioCue,2020,Healthcare Technologies,California,No,7000000,900000,Male,"South Asian, White,",Yes
Jumbo,2020,Sports,New York,Yes,750000,5000,Male,"White, Hispanic/Latinx",No
dineoutwith.us,2020,Food & Drink,New York,Yes,500000,0,Male,"African-American / Black, White",No
Articulate Labs,2020,Healthcare Technologies,Texas,No,750000,25000,Male,White,No
American Shochu Company,2020,Food & Drink,Maryland,No,2000000,0,Male,"East Asian, White",No
Nexus Digital Technology,2020,Software,United Kingdom,No,1000000,0,"Female, Male",Middle Eastern,No
Lumist,2020,Education,Canada,Yes,25000000,10000000,Male,"East Asian, White",No
Hooman 's Startup,2020,Real Estate,New York,Yes,1000000,300000,Male,Middle Eastern,No
JelikaLite LLC,2020,Biotechnology,New York,Yes,5000000,350000,Female,"Middle Eastern, White",No
Latin Goodness Foods,2020,Food & Drink,Maryland,Yes,2000000,100000,Female,"White, Hispanic/Latinx",No
Legend Acres,2020,Agricultural Technology,Arizona,No,80000,0,Female,White,Yes
Hive,2020,Internet / Web Services,New Jersey,No,,,Female,"South Asian, Pacific Islander, Southeast Asian, East Asian, White",No
StarSpec Technologies,2020,Aerospace,Canada,Yes,5000000,0,Male,"Southeast Asian, White, Hispanic/Latinx",No
OxiWear.Inc,2020,Healthcare Technologies,Virginia,No,750000,200000,Female,South Asian,No
Nucleos Inc.,2020,Education,California,Yes,1500000,150000,Male,Hispanic/Latinx,No
Critical Decision Systems,2020,FinTech,Florida,Yes,250000,0,Prefer Not to Say,White,Yes
Baru Inc. (OLD),2020,Consumer Products,New York,No,1000000,260000,"Female, Male","South Asian, Pacific Islander, East Asian, White",No
VlipSide,2020,Consumer Services,California,Yes,470000,0,"Female, Male","East Asian, White",No
"Baubap, S.A.P.I. de C.V.",2020,FinTech,Mexico,No,3000000,0,"Female, Male","Middle Eastern, White, Hispanic/Latinx",No
inCTRL,2020,Mobile,Georgia,Yes,10000,0,"Female, Male",White,No
Stingray Therapeutics Inc.,2020,Healthcare Technologies,Texas,No,1000000,500000,Prefer Not to Say,"East Asian, White, Hispanic/Latinx",No
NirVue Technologies,2020,Healthcare Technologies,Massachusetts,Yes,1300000,0,Female,White,No
Realworld,2020,Consumer Services,New York,Yes,1500000,400000,Female,White,No
Adventurelist,2020,Travel,New Jersey,Yes,500000,1500,Male,White,Yes
MDelivery,2020,Healthcare Technologies,Texas,Yes,500000,0,Male,"Southeast Asian, Middle Eastern, White, Hispanic/Latinx",No
Wesa LLC,2020,Electronics ,New York,Yes,500000,100000,Female,"East Asian, Middle Eastern, White, Hispanic/Latinx",No
Mechanicus,2020,Transportation,Michigan,No,20000,0,Male,African-American / Black,No
eXeer Biotech,2020,Biotechnology,California,Yes,5000000,0,"Female, Male","Middle Eastern, White",No
3Diligent,2020,Internet / Web Services,California,Yes,500000,300000,Male,"Southeast Asian, White",No
BallBox,2020,Retailing / Distribution,Colorado,No,250000,120000,Male,Middle Eastern,No
"Ceretype Neuromedicine, Inc.",2020,Biotechnology,Massachusetts,Yes,1500000,0,Female,"East Asian, White",No
Eleanor's Startup,2020,Consumer Services,Massachusetts,Yes,300000,70000,"Female, Male","South Asian, East Asian",No
Nutricart,2020,Food & Drink,Virginia,Yes,40000,0,Female,East Asian,No
Career Copilots,2020,Education,New York,Yes,600000,100000,Male,"South Asian, White",No
Kosmos,2020,FinTech,California,Yes,,200000,"Non-Binary/Third Gender, Male","South Asian, East Asian, Middle Eastern, White, Hispanic/Latinx",No
Jiguar,2020,Healthcare Technologies,New York,Yes,500000,0,"Female, Male",South Asian,No
Lambent Data,2020,Software,New Jersey,Yes,350000,0,"Female, Male",White,Yes
Presently,2020,Business Services,California,Yes,1600000,50000,Female,"South Asian, Middle Eastern, White",No
Pluto,2020,Internet / Web Services,California,Yes,800000,200000,Male,White,No
EVRI,2020,Real Estate,California,Yes,500000,0,Male,White,No
Vestive,2020,FinTech,New York,No,800000,0,Prefer Not to Say,,
Lelu,2020,Education,California,No,1000000,0,Female,"East Asian, Hispanic/Latinx",No
FounderTribes,2020,Education,United Kingdom,Yes,1000000,600000,"Female, Male","African, African-American / Black, White",No
"Rymedi, Inc.",2020,IT Services,South Carolina,No,3000000,0,Male,White,No
DAIMLAS,2020,IT Services,Massachusetts,No,25000,0,Male,"Middle Eastern, Pacific Islander",No
koyn. LLC,2020,Internet / Web Services,New York,No,2000000,0,Male,"Middle Eastern, South Asian, White",No
"MD Kinect, Inc. ",2020,Healthcare Technologies,California,No,3000000,0,Male,"Middle Eastern, Southeast Asian",Yes
S-O-M-A Measure,2020,Consumer Products,Pennsylvania,Yes,150000,0,Female,"East Asian, White",No
Parkside Scientific Inc,2020,Biotechnology,New York,Yes,3000000,0,Prefer Not to Say,"East Asian, White",No
Mella Pet Care,2020,Consumer Products,Illinois,Yes,1000000,720000,Female,East Asian,No
Soli,2021,Energy & CleanTech,Massachusetts,Yes,1500000,0,"Female, Male","White, Hispanic/Latinx",Yes
Tourmato,2021,Education,California,Yes,43000,43000,"Female, Male",East Asian,No
PharmD Live Corporation,2021,Healthcare Technologies,Washington D.C.,No,1000000,127000,Female,"African, East Asian",No
Siddha Health,2021,Healthcare Technologies,California,No,400000,0,Male,Hispanic/Latinx,No
"DeLorean Artificial Intelligence, LLC",2021,IT Services,Florida,Yes,3000000,75000,Male,"South Asian, White",No
Garghemol di Raffaella Verga,2021,Consumer Products,Italy,No,1200000,2000,Female,White,No
"zeroto6t, inc. DBA herohomes.com",2021,Financial Services,Michigan,Yes,240000,850000,Male,White,Yes
Arbela Laboratories Inc.,2021,Energy & CleanTech,New Jersey,Yes,3000000,0,Male,"White, Hispanic/Latinx",No
Upfront,2021,Consumer Services,New York,Yes,500000,200000,Female,"South Asian, Middle Eastern, White",No
Buyer Folio Inc.,2021,Software,Canada,No,150000,0,"Female, Male","African, African-American / Black",No
"The OhZone, Inc.",2021,Retail,California,No,3000000,0,Female,"American Indian/Alaskan Native, Southeast Asian",Yes
Wooduchoose Ltd,2021,Construction,United Kingdom,No,450000,0,Male,White,No
Bloomfield Robotics,2021,Agricultural Technology,Pennsylvania,No,1000000,750000,Male,White,No
ThoughtData,2021,Software,Massachusetts,No,750000,0,Male,South Asian,No
Vetigenics,2021,Biotechnology,Pennsylvania,No,1000000,200000,Female,White,No
GOffee,2021,Food & Drink,New York,No,1000000,60000,"Female, Male","African, White",No
Firehawk Aerospace Inc.,2021,Aerospace,Florida,No,15000000,0,Male,White,Yes
plantedpeople.com,2021,Software,Idaho,Yes,500000,72000,Male,South Asian,No
Manic Kat Records,2021,Media & Entertainment,New York,No,500000,200000,Male,White,No
Lori's Startup,2021,Software,New York,No,750000,0,Female,"Southeast Asian, East Asian, White",No
Ponapal,2021,Healthcare Technologies,Georgia,Yes,330000,0,Male,African-American / Black,No
StratusX,2021,IT Services,New York,No,3000000,1000000,Male,"African, Middle Eastern",No
Elifinty,2021,FinTech,united Kingdom,No,500000,225000,"Female, Male","South Asian, White, Hispanic/Latinx",No
Athletes In Recruitment Inc.,2021,Software,Texas,No,100000,165000,Male,"African-American / Black, White",No
T4L,2021,Transportation,Florida,No,1000000,140000,Male,"African-American / Black, Southeast Asian, East Asian, White, Hispanic/Latinx",No
Maze-AR,2021,Business Services,california,Yes,1000000,12000,Male,"South Asian, White",No
Sunhill,2021,Consumer Products,new jersey,No,750000,0,Male,South Asian,No
Bua Fit,2021,Sports,united Kingdom,No,500000,0,Male,White,No
Doorage,2021,Real Estate,Illinois,No,3400000,0,Male,White,No
Homebase,2021,Other,New York,No,650000,0,"Female, Male",African-American / Black,No
TagHawk,2021,Internet / Web Services,Massachusetts,No,1000000,200000,"Female, Male","East Asian, White",No
VIELL,2021,Media & Entertainment,california,No,1000000,100000,Male,Middle Eastern,No
RubyRide,2021,Transportation,Pennsylvania,No,2000000,0,Male,White,No
Monogamish,2021,Other,Australia,No,500000,0,Male,White,No
ElevenTwelve,2021,Food & Drink,california,Yes,100000,60000,Prefer Not to Say,White,No
Enroute,2021,Transportation,Israel,No,3000000,600000,Male,White,No
Chipin,2021,FinTech,Australia,No,500000,0,Male,"East Asian, Middle Eastern, White",No
"CarBuddy, Co.",2021,Mobile,Pennsylvania,Yes,3000000,250000,Male,"American Indian/Alaskan Native, White, Hispanic/Latinx",Yes
3rdDegree,2021,Mobile,Tennessee,No,550000,0,Female,White,No
B2B Negocios,2021,Software,Mexico,No,1000000,0,Male,Hispanic/Latinx,No
MoNoA,2021,Healthcare Technologies,Belgium,No,3000000,820000,Male,White,No
"Tru-Spot Technologies, Inc.",2021,Mobile,Mississippi,No,1000000,300000,Male,African-American / Black,Yes
Pynk,2021,FinTech,united Kingdom,No,1500000,150000,Male,White,No
Lanterns,2021,Gaming,Tunisia,No,2500000,900000,Male,"African, Middle Eastern, White",No
Phoxy,2021,Software,california,No,500000,0,Male,African-American / Black,No
Naivya,2021,Internet / Web Services,New York,No,1000000,0,Male,"South Asian, White",Yes
Mitzvah Wear,2021,Retail,New York,Yes,50000,13000,Male,White,No
Upbots GmbH,2021,FinTech,Switzerland,No,3000000,0,Male,White,No
London Trade Art,2021,FinTech,United Kingdom,No,350000,138000,Female,White,No
Binary Analytics,2021,Consulting,Ohio,No,700000,0,Prefer Not to Say,"Middle Eastern, White",No
Basis,2021,Food & Drink,New York,Yes,1250000,675000,Female,White,No
Quick Safety Pty Ltd,2021,IT Services,Australia,No,1300000,148000,Male,White,Yes
QOLOS,2021,Software,Wisconsin,No,500000,0,Male,White,No
ORBAI,2021,Internet / Web Services,California,No,5000000,0,Male,White,Yes
Labyrinthe,2021,Real Estate,New York,Yes,2000000,0,Male,"Southeast Asian, East Asian",No
Hotels By Day,2021,Internet / Web Services,New York,No,1000000,200000,Male,"African, Middle Eastern, Hispanic/Latinx",No
Ahmed's Startup,2021,IT Services,Ohio,No,1500000,0,Male,"American Indian/Alaskan Native, Southeast Asian",No
Spoonful,2021,Consumer Products,California,Yes,1000000,0,Female,South Asian,No
Rootine,2021,Consumer Products,Tennessee,Yes,3000000,2500000,Female,"African-American / Black, Southeast Asian, White, Hispanic/Latinx",No
One Clique Systems,2021,Software,United Arab Emirates,Yes,500000,0,"Female, Male",Middle Eastern,No
One Creation Corporation,2021,Software,New Jersey,No,3000000,1100000,"Female, Male","East Asian, White",No
Jar Goods,2021,Food & Drink,New Jersey,No,1000000,50000,Female,White,No
Telkes,2021,Energy & CleanTech,New York,Yes,600000,0,"Female, Male","White, Hispanic/Latinx",No
Vootto,2021,Energy & CleanTech,Israel,No,1000000,0,Male,Middle Eastern,No
Suspect Technologies,2021,Security,Massachusetts,Yes,2000000,1300000,Male,White,No
